Category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Accomodation,,,,,,,, 633.90 ,, 811.02 ,,,1444.92
Car note,,,,,,, 468.00,467.00,467.00,467.00,467.00,467.00 ,2803.00
Cellphone, 281.55,281.13,280.48,251.98,296.16,252.70,392.94,319.10,576.47,331.06,309.00,310.77 ,3883.34
Education, 50.00,,,, 73.00,, 275.00,, 25.00 ,1000.00,2509.00,2000.00,5932.00
Gas,,,,,,,,,,,,,
Meals, 49.00,30.00,27.00,73.00,50.00,35.00,45.00,50.00,55.00,204.00,115.00,134.00,867.00
Medical,,,,75.00,11.00,16.00,, 13.00,,,12.00,, 127.00
PayPal credit payment, 34.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,28.00,28.00,387.00
Transportation, 75.00,80.00,81.00,110.00,125.00,75.00,40.00,105.00,50.00,175.00,127.00,122.00 ,1165.00
Supplies,,, 516.95 ,, 370.01 ,,,,, 270.34 ,,,1157.30
Travel,,,,,,48.00,, 879.48,,,250.60,293.30 ,1471.38
Total, 489.55,424.13,938.43,542.98,958.17,459.70 ,1253.94,2500.48,1206.47,3291.42,3817.60,3355.07,19237.94